"id","en","ru","de","fr"
"GAME_TYPE_DIFFICULTY_LAYOUT_HINTS_UNDOS_TIME","Type: %s
Difficulty: %s
Layout: %s
Hints: %s
Undos: %s
Time: %s","Тип: %s
Сложность: %s
Раскладка: %s
Подсказки: %s
Отмены: %s
Время: %s","Typ: %s
Schwierigkeit: %s
Layout: %s
Hinweise: %s
Rücknahmen: %s
Zeit: %s","Type : %s
Difficulté : %s
Disposition : %s
Suggestions : %s
Défaits : %s
Temps : %s"
"GAME_TYPE_SHISENSHO","Shisen-Sho","Шисен-Сё","Shisen-Sho","Shisen-Sho"
"GAME_TYPE_SHISENSHO_GRAVITY","Shisen-Sho + gravity","Шисен-Сё + гравитация","Shisen-Sho + Gravitation","Shisen-Sho + gravité"
"GAME_TYPE_SOLITAIRE","Solitaire","Пасьянс","Solitär","Solitaire"
"GAME_REMOVED_TILES_ALTOGETHER","Removed tiles / Altogether","Убранные фишки / Всего","Entfernte Spielsteine / Insgesamt","Tuiles supprimées / Au total"
"GAME_RESTART","Restart the game","Перезапустить игру","Spiel neu starten","Redémarrer le jeu"
"GAME_SAVE","Save","Сохранить","Speichern","Sauvegarder"
"GAME_SETTINGS","Settings","Настройки","Einstellungen","Paramètres"
"GAME_SHUFFLE","Shuffle","Перемешать","Vermischen","Mélanger"
"GAME_SOUND_TRACK","Sound track","Музыкальная дорожка","Soundtrack","Piste sonore"
"GAME_START","Start a new game","Начать новую игру","Neues Spiel starten","Démarrer un nouveau jeu"
"GAME_STATS","Statistics","Статистика","Statistik","Statistiques"
"GAME_TILE_PAIRS_YOU_CAN_REMOVE","Tile pairs you can remove","Пары фишек, которые можно удалить","Spielstein-Paare, die gelöscht werden können","Paires de tuiles que vous pouvez enlever"
"GAME_QUIT","Quit","Выйти из игры","Spiel verlassen","Quitter"
"GAME_UNDO","Undo","Отменить","Zurücknehmen","Défaire"
"GFX_QUALITY_LOW","Low","Низкое","Niedrig","Basse"
"GFX_QUALITY_MEDIUM","Medium","Среднее","Mittel","Moyenne"
"GFX_QUALITY_HIGH","High","Высокое","Hoch","Haute"
"GFX_QUALITY_CUSTOM","Custom","Настроить","Benutzerdefiniert","Personnalisée"
"HW_NO_SHADER_SUPPORT","Your hardware does not support Shader Model 2.0. This may crash the applications.","Похоже что ваша система не поддерживает Shader Model 2.0. Это может привести к падению приложения.","Ihre Hardware unterstützt kein Shader Modell 2.0. Dies kann zur Spielabstürzen führen.","Votre matériel ne supporte pas le Shader modèle 2.0. Cela peut planter les applications."
"INFO_ABOUT","About","О программе","Über","A propos"
"INFO_ABOUT_HOME_URL","http://opengamestudio.org/lang/en/ogs-mahjong","http://opengamestudio.org/lang/ru/ogs-mahjong","http://opengamestudio.org/lang/en/ogs-mahjong","http://opengamestudio.org/lang/en/ogs-mahjong"
"INFO_ABOUT_TXT","This is a classic Mahjong Solitaire game. It is a first step on the long road to an Open source RPG we (OGS team) wish to create.

[image='set:Logos image:OGS'] team:
Michael Kapelko - code and content;
Ivan Korystin - gameplay design, content and QA.

Third-party resources:
Anton Chernov - Room model.
Timur Malikin - TileHigh and TileMed tile models.
Raquel Ravanini - images for ""Classic"" theme.
Kevin MacLeod - all tracks in ""Eastern"" and ""Piano"" music packs. Tracks ""Funkorama"", ""Neo Western"" and ""Protofunk"" in ""Modern"" music pack.
Dano - Tracks ""Crazy from the message"", ""King or an alien"", ""Sun spark"", ""The time isnt right"", ""The wire"", ""Today then tomorrow"" and ""What you think"" in ""Modern"" music pack.
Fenster - Track ""Free Software"" in ""Modern"" music pack.

You can find more info on third-party resources, their licenses and copyrights in README files, placed in themes or music packs directories.

Libraries:
[image='set:Logos image:OGRE'] with [image='set:Logos image:OpenGL'] backend

[image='set:Logos image:CEGUI']

[image='set:Logos image:OpenAL']

Thanks to:
- Ogre3D team/community for the engine and help;
- Lightfeather team/community for help while this game has been using Lightfeather engine;
- OpenAL-Soft/ALURE developer KittyCat for help.
Special thanks to CrazyEddie for good GUI system and great support.

Translators:
Ekaterina Kamshilina - original German translation.
Jürgen Rauscher - corrected the original German translation.
Dirk Pervölz - corrected the original German translation.
Thierry Delaunay - French translation.

Web page:
[window='Info/LinkHome']","Это классическая игра ""Пасьянс Маджонг"". Это первый шаг в длинной дороге к нашей РПГ, которую мы (команда OGS), хотим создать.

Команда [image='set:Logos image:OGS']:
Михаил Капелько - код и наполнение;
Иван Корыстин - игровой дизайн, наполнение и контроль качества.

Сторонние ресурсы:
Антон Чернов - модель Комнаты.
Тимур Маликин - модели фишек: TileHigh и TileMed.
Raquel Ravanini - изображения для темы оформления ""Classic"".
Kevin MacLeod - все музыкальные треки в разделах ""Eastern"" и ""Piano"". Треки ""Funkorama"", ""Neo Western"" и ""Protofunk"" в разделе ""Modern"".
Dano - Музыкальные треки ""Crazy from the message"", ""King or an alien"", ""Sun spark"", ""The time isnt right"", ""The wire"", ""Today then tomorrow"" и ""What you think"" в разделе ""Modern"".
Fenster — Музыкальный трек ""Free Software"" в разделе ""Modern"".

Более подробно об использованных сторонних ресурсах, их лицензиях и копирайтах вы можете узнать из файлов README, расположенных в папках тем оформления и музыкальных разделов.

Библиотеки:
[image='set:Logos image:OGRE'] с [image='set:Logos image:OpenGL']

[image='set:Logos image:CEGUI']

[image='set:Logos image:OpenAL']

Благодарим:
- команду/сообщество Ogre3D за движок и помощь;
- команду/сообщество Lightfeather за помощь, когда эта игра использовала движок Lightfeather;
- разработчика OpenAL-Soft/ALURE под псевдонимом KittyCat за помощь.
Особая благодарность CrazyEddie за хорошую систему GUI и отличную поддержку.

Переводчики:
Екатерина Камшилина - Немецкий перевод.
Jürgen Rauscher - исправление Немецкого перевода.
Dirk Pervölz - исправление Немецкого перевода.
Thierry Delaunay - Французский перевод.

Веб-страница:
[window='Info/LinkHome']","Dies ist ein klassisches Mahjong Solitaire Spiel. Es ist der erste Schritt auf den langen Weg zum Open-Source-RPG, das wir (das OGS-Team) kreieren möchten.

[image='set:Logos image:OGS'] team:
Michael Kapelko — Programmcode und Inhalte;
Ivan Korystin - Gameplay Design, Inhalte und QS.

Andere Ressourcen:
Anton Chernov - Raum-Modell.
Timur Malikin - Spielsteinmodelle TileHigh und TileMed.
Raquel Ravanini - Bilder für ""Classic"" theme.
Kevin MacLeod - alle Musikstücke in den ""Eastern"" und ""Piano"" Musik-Paketen. Musikstücke ""Funkorama"", ""Neo Western"" und ""Protofunk"" im ""Modern"" Musikpaket.
Dano - Musikstücke ""Crazy from the message"", ""King or an alien"", ""Sun spark"", ""The time isnt right"", ""The wire"", ""Today then tomorrow"" und ""What you think"" im ""Modern"" Musikpaket.
Fenster - Musikstück ""Free Software"" im""Modern"" Musikpaket.

Mehr Infos über andere Ressourcen, ihre Lizenzen und Urheberrechte sind in den Verzeichnissen der Themen oder Musikpakete als Readme-Datei zu finden.

Bibliotheken:
[image='set:Logos image:OGRE'] mit [image='set:Logos image:OpenGL'] backend

[image='set:Logos image:CEGUI']

[image='set:Logos image:OpenAL']

Vielen Dank an:
- das Ogre3D Team & Community für die Engine und Ihre Hilfe;
- das Lightfeather Team & Community für die Hilfe mit der Lightfeather Engine;
- den OpenAL-Soft/ALURE Entwickler KittyCat für seine Hilfe.
Besonderer Dank geht an CrazyEddie für sein schönes GUI System und seine große Unterstützung.

Übersetzer:
Ekaterina Kamshilina — ursprüngliche Deutsche Übersetzung.
Jürgen Rauscher — Korrektur der ursprünglichen Übersetzung.
Dirk Pervölz - Korrektur der ursprünglichen Übersetzung.
Thierry Delaunay - Französische Übersetzung.

Web-Seite:
[window='Info/LinkHome']","Ceci est un jeu de Mahjong solitaire classique. C'est la premère étape sur la longue route vers un RPG Open Source que nous (équipe OGS) souhaitons créer.
 
Equipe [image='set:Logos image:OGS'] :
Michael Kapelko - code et contenu ;
Ivan Korystin - conception du gameplay, contenu et QA.
 
Ressources tierces :
Anton Chernov - Modèle de pièce.
Timur Malikin - modèles de tuiles TileHigh et TileMed.
Raquel Ravanini - images pour le thème ""Classic"".
Kevin MacLeod - toutes les pistes dans les packs de musique ""Eastern"" et ""Piano"". Pistes ""Funkorama"", ""Neo Western"" et ""Protofunk"" dans le pack de musique ""Modern"".
Dano - pistes ""Crazy from the message"", ""King or an alien"", ""Sun spark"", ""The time isnt right"", ""The wire"", ""Today then tomorrow"" et ""What you think"" dans le pack de musique ""Modern"".
Fenster - piste ""Free Software"" dans le pack de musique ""Modern"".
 
Vous pouvez trouver plus d'informations sur les ressources tierces, leurs licences et droits de copie dans les fichiers README, placés dans les dossiers des thèmes ou packs de musique.
 
Bibliothèques :
[image='set:Logos image:OGRE'] avec backend [image='set:Logos image:OpenGL']
 
[image='set:Logos image:CEGUI']
 
[image='set:Logos image:OpenAL']
 
Remerciements à  :
- Communautéé/équipe Ogre3D pour le moteur et l'aide ;
- Communauté/équipe Lightfeather pour l'aide durant la période où ce jeu a utilisé le moteur Lightfeather ;
- KittyCat, développeur OpenAL-Soft/ALURE pour l'aide.
Remerciements spéciaux à  CrazyEddie pour le bon système de GUI et le grand soutien.
 
Traducteurs :
Ekaterina Kamshilina - traduction originale allemande.
Jürgen Rauscher - a corrigé la traduction originale allemande.
Dirk Pervölz - a corrigé la traduction originale allemande.
Thierry Delaunay - traduction originale française.
 
Page Web :
[window='Info/LinkHome']"
"INFO_LICENSE","License","Лицензия","Lizenz","Licence"
"INFO_LICENSE_TXT","Copyright (C) 2010-2011, Opensource Game Studio

OGS Mahjong is free software: you can redistribute it and/or modify
it under the terms of the GNU General Public License as published by
the Free Software Foundation, either version 3 of the License, or
(at your option) any later version.

OGS Mahjong is distributed in the hope that it will be useful,
but WITHOUT ANY WARRANTY; without even the implied warranty of
MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the
GNU General Public License for more details.

You should have received a copy of the GNU General Public License
along with OGS Mahjong. If not, see
[window='Info/LinkLicense']",,,
"INFO_RULES","Rules","Правила","Regeln","Règles"
"INFO_RULES_MAHJONG_SOLITAIRE","    Solitaire","    Пасьянс","    Solitär","    Solitaire"
"INFO_RULES_MAHJONG_SOLITAIRE_TXT","Mahjong Solitaire
 
Goal of the game is to clear the playing field by taking away pairs of identical tiles. The tile can be removed only if it is free, that means there are no other tiles to the left, to the right or on top of it.
[image='set:Rules image:Mahjong']
 
Classic mahjong tiles:
1. Bamboos - tiles with value 1 to 9. The Bamboo tiles with the same color and value are identical.
2. Symbols - tiles with value 1 to 9. The Symbols tiles with the same color and value are identical.
3. Dots - tiles with value 1 to 9. The Dots tiles with the same color and value are identical.
4. Dragons - 3 tiles of different colors. The Dragons tiles with the same color are identical.
5. Winds - 4 pieces with the symbols of different sides of the world. The Winds tiles with the same symbol are identical.
6. Seasons - 4 pieces depicting the seasons. All Seasons tiles are identical.
7. Flowers - 4 pieces with images of flowers. All Flowers tiles are identical.
 
Tiles in various themes may look different.","Пасьянс Маджонг
 
Цель игры - очистить игровое поле, каждый ход убирая с него попарно одинаковые фишки.
Фишка может быть убрана только если она свободна, то есть если слева от нее, справа от нее или на ней нет других фишек.
[image='set:Rules image:Mahjong']
 
Масти фишек классического маджонга:
1. Бамбуки - фишки достоинством от 1 до 9. Одинаковыми считаются фишки масти Бамбуки одного и того же достоинства.
2. Символы - фишки достоинством от 1 до 9. Одинаковыми считаются фишки масти Символы одного и того же достоинства.
3. Точки - фишки достоинством от 1 до 9. Одинаковыми считаются фишки масти Точки одного и того же достоинства.
4. Драконы - 3 фишки разных цветов. Одинаковыми считаются фишки масти Дракон одного и того же цвета.
5. Стороны света - 4 фишки с символами разных сторон света. Одинаковыми считаются фишки масти Стороны света с одним и тем же символом.
6. Времена года - 4 фишки с изображением времен года. Одинаковыми считаются все фишки масти Времена года.
7. Цветы - 4 фишки с изображениями цветов. Одинаковыми считаются все фишки масти Цветы.
 
В различных темах масти фишек могут выглядеть по-разному.","Mahjong Solitaire
 
Ziel des Spieles ist es, das Spielfeld durch Wegnahme von den Paaren identischer Steine frei zu machen.
Der Spielstein kann nur dann entfernt werden, wenn er frei ist, d. h.wenn er auf mindestens einer Seite keinen anderen Stein berührt.
[image='set:Rules image:Mahjong']
 
Klassische Mahjong Spielsteine sind:
1. Die Bambus-Spielsteine haben einen Wert von 1 bis 9. Die Spielsteine mit gleicher Farbe und gleichem Wert sind identisch.
2. Die Symbol-Spielsteine haben einen Wert von 1 bis 9. Die Spielsteine mit gleicher Farbe und gleichem Wert sind identisch.
3. Die Punkte-Spielsteine haben Wert von 1 bis 9. Die Spielsteine mit gleicher Farbe und gleichem Wert sind identisch.
4. Drachen - 3 Spielsteine in verschiedenen Farben.
5. Himmelsrichtungen - 4 Stück mit den Symbolen der verschiedenen Himmelsrichtungen. Die Spielsteine mit dem gleichen Symbol sind identisch.
6. Jahreszeiten - 4 Stück mit der Darstellung der Jahreszeiten. Alle Jahreszeiten-Spielsteine sind identisch.
7. Blumen - 4 Stück mit Bildern von Blumen. Alle Blumen-Spielsteine sind identisch.
 
Spielsteinen in verschiedenen Themen können anders aussehen.","Mahjong solitaire
 
Le but du jeu est de nettoyer l'espace de jeu en enlevant les paires de tuiles identiques. La tuile peut êre enlevée seulement si elle est libre, ce qui signifie qu'il n'y a pas d'autre tuile à  gauche, à  droite ou sur le dessus de celle-ci.
[image='set:Rules image:Mahjong']
 
Tuiles du mahjong classique :
1. Bambous - tuiles avec une valeur de 1 à  9. Les tuiles de bambous avec la même couleur et valeur sont identiques.
2. Symboles - tuiles avec une valeur de 1 à  9. Les tuiles de symboles avec la même couleur et valeur sont identiques.
3. Points - tuiles avec une valeur de 1 à  9. Les tuiles de points avec la même couleur et valeur sont identiques.
4. Dragons - 3 tuiles de différentes couleurs. Les tuiles de dragons avec la même couleur et valeur sont identiques.
5. Vents - 4 pièces avec les symboles des diférents côtés du monde. Les tuiles de vents avec le même symbole sont identiques.
6. Saisons - 4 pièces dépeignant les saisons. Toutes les tuiles de saisons sont identiques.
7. Fleurs - 4 pièces avec des images de fleurs. Toutes les tuiles de fleurs sont identiques.
 
Les tuiles dans les divers thèmes peuvent être différentes."
"INFO_RULES_SHISEN_SHO","    Shisen-Sho","    Шисен-Сё","    Shisen-Sho","    Shisen-Sho"
"INFO_RULES_SHISEN_SHO_TXT","Shisen-Sho
 
Goal of the game is to clear the playing field by taking away pairs of identical tiles. A pair of tiles can be removed only if they can be connected by the line with no more than two right angles running through a free space.
[image='set:Rules image:ShisenSho'] [image='set:Rules image:ShisenSho2']
 
Shisen-Sho with gravity
 
Goal of the game is to clear the playing field by taking away pairs of identical tiles. A pair of tiles can be removed only if they can be connected by the line with no more than two right angles running through a free space. After each turn, tiles, that are free at the bottom, will be pushed down to the other tiles or to the bottom row.","Шисен-се
 
Цель игры - очистить игровое поле, каждый ход убирая с него попарно одинаковые фишки.
Пара фишек может быть убрана только если их можно соединить линией с не более чем двумя прямыми углами,проходящей по свободному игровому пространству.
[image='set:Rules image:ShisenSho'] [image='set:Rules image:ShisenSho2']
 
Шисен-се с гравитацией
 
Цель игры - очистить игровое поле, каждый ход убирая с него попарно одинаковые фишки.
Пара фишек может быть убрана только если их можно соединить линией с не более чем двумя прямыми углами, проходящей по свободному игровому пространству.
После каждого хода фишки, свободные с нижней стороны, сдвигаются вниз так, чтобы соприкасаться с другими фишками либо находиться в нижнем ряду.","Shisen-So
 
Ziel des Spieles ist das Spielfeld durch Wegnahme von den Paaren identischer Steine frei zu machen.
Ein Paar von Spielsteinen kann nur dann entfernt werden, wenn sie durch die Linie mit nicht mehr als zwei rechten Winkeln angeschlossen / verbunden werden kann.
[image='set:Rules image:ShisenSho'] [image='set:Rules image:ShisenSho2']
 
Shisen-So + Gravitation
 
Ein Paar von Spielsteinen kann nur dann entfernt werden, wenn sie durch die Linie mit nicht mehr als zwei rechten Winkeln angeschlossen / verbunden werden kann.
Nach jedem Zug werden die Spielsteine, die von der Unterseite frei sind, nach unten verschoben, bis zum sie im Kontakt mit anderen Spielsteinen kommen oder den anderen Spielsteine oder sein Platz an der erste Spiellinie nehmen.","Shisen-Sho
 
Le but du jeu est de nettoyer l'espace de jeu en enlevant les paires de tuiles identiques. Une paire de tuiles peut êre supprimée seulement si elles peuvent être connectées par une ligne avec deux angles droits au plus traversant un espace libre.
[image='set:Rules image:ShisenSho'] [image='set:Rules image:ShisenSho2']
 
Shisen-Sho avec gravité
 
Le but du jeu est de nettoyer l'espace de jeu en enlevant les paires de tuiles identiques. Une paire de tuiles peut être supprimée seulement si elles peuvent êre connectées par une ligne avec deux angles droits au plus traversant un espace libre. Après chaque tour, les tuiles qui sont libres en-dessous seront poussées vers le bas vers les autres tuiles ou vers le rang du bas."
"INFO_TEAM","Team","Команда",,
"INFO_TEAM_DEVELOPMENT","    Development","    Разработка",,
"INFO_TEAM_TRANSLATION","    Translation","    Перевод",,
"INFO_THIRD_PARTIES","Third parties","Третьи стороны",,
"INFO_THIRD_PARTIES_LIBRARIES","    Libraries","    Библиотеки",,
"INFO_THIRD_PARTIES_MEDIA","    Media","    Медиа",,
"INFO_YOUR_HELP","Your help","Ваша помощь",,
"INFO_YOUR_HELP_DONATION","    Donation","    Пожертвование",,
"INFO_YOUR_HELP_JOINING","    Join us","    Присоединяйтесь к нам",,
"LOAD_LOAD","Load","Загрузить","Laden","Charger"
"LOAD_INFO","Type: %s
Difficulty: %s
Layout: %s
Hints: %s
Undos: %s
Time: %s","Тип: %s
Сложность: %s
Раскладка: %s
Подсказок: %s
Отмена: %s
Время: %s","Typ: %s
Schwierigkeit: %s
Layout: %s
Tipps: %s
Rücknahmen: %s
Dauer: %s","Type : %s
Difficulté : %s
Disposition : %s
Suggestions : %s
Défaits : %s
Temps : %s"
"NO","No","Нет","Nein","Non"
"NO_DESC","No description","Нет описания","Keine Beschreibung","Pas de description"
"OK",,,,
"SAVE_GAME_BEFORE_EXIT","Do you want to save the game before exit?","Сохранить игру перед выходом?","Wollen Sie das Spiel vor dem Beenden speichern?","Voulez-vous sauvegarder le jeu avant de quitter ?"
"SETTINGS_ANTIALIASING","Anti-aliasing:","Сглаживание:","Anti-Aliasing:","Anti-aliasing :"
"SETTINGS_AUDIO","Audio","Аудио","Audio","Audio"
"SETTINGS_CONTROLS","Controls","Управление","Steuerung","Contrôles"
"SETTINGS_FULLSCREEN","Full screen","На весь экран","Vollbild","Plein écran"
"SETTINGS_GAME","Game","Игра","Spiel","Jeu"
"SETTINGS_GENERAL_VOLUME","General volume:","Общая громкость:","Allgemeine Lautstärke:","Volume général :"
"SETTINGS_GFX_QUALITY","Graphics quality:","Качество графики:","Grafikqualität:","Qualité graphique :"
"SETTINGS_DESC_ANTIALIASING","The larger is the antialiasing factor, the smoother are object edges","Чем выше сглаживание, тем более гладкими будут грани объектов.","Je höher der Anti-Aliasing-Faktor, desto glatter werden die Objektkanten dargestellt.","Plus grand est le facteur d'antialiasing, plus les angles des objets sont lisses"
"SETTINGS_DESC_AUDIO","Game sounding","Звучание игры","Spielgeräusche","Sonorisation du jeu"
"SETTINGS_DESC_DIFFICULTY","Classic difficulty corresponds to a normal Mahjong with full tile set. Lower difficulties have reduced tile sets.","Классическая сложность соответствует обычному Маджонгу с полным набором фишек. Другие сложности имеют уменьшенные наборы фишек.","Der klassische Schwierigkeitsgrad ergibt ein normales Mahjong-Spielfeld mit allen Spielsteinarten. Niedrigere Schwierigkeitsgrade ergeben Spielfelder mit weniger Spielsteinarten.","La difficulté classique corresponds à un Mahjong normal avec le jeu complet de tuiles. Les difficultés plus basses ont des jeux de tuiles réduits."
"SETTINGS_DESC_DYNCAM","If enabled, camera is deflected slightly when you move the mouse around","Если включено, камера слегка отклоняется при движении мыши","Wenn aktiviert, neigt sich die Ansicht bei Bewegungen der Maus","Si activée, la caméra défléchit légèrement lorsque vous bougez la souris autour"
"SETTINGS_DESC_DYNCAM_DEFLECTION","Camera deflection factor","Степень отклонения камеры","Neigungsfaktor der Ansicht","Faction de déflection de la caméra"
"SETTINGS_DESC_FULLSCREEN","Use the whole screen for the game","Использовать весь экран для игры","Benutze den ganzen Bildschirm für das Spiel","Utiliser l'écran entier pour le jeu"
"SETTINGS_DESC_GAME","Game behaviour","Поведение игры","Spielverhalten","Comportement du jeu"
"SETTINGS_DESC_GFX_QUALITY","Select desired quality instead of tweaking each video parameter. If you want to tweak everything manually, select Custom.","Выберите желаемое качество вместо настройки каждого видеопараметра. Если вы хотите настроить всё самостоятельно, выберите Настроить.","Wählen Sie eine Qualitätseinstellung, wenn Sie nicht jeden einzelnen Grafikparameter einstellen wollen. Wählen Sie Benutzerdefiniert, wenn Sie jede Einstellung selber vornehmen möchten.","Sélectionner la qualité désirée au lieu de régler chaque paramètre vidéo. Si vous voulez régler tout manuellement, sélectionnez Personnalisée."
"SETTINGS_DESC_HIGHLIGHT_LAYERS","Highlight layers of tiles to easier tell them apart","Подсвечивать слои фишек, чтобы легче различать их","Ebenen werden hervorgehoben, um einen besseren Überblick zu bekommen","Surligner les couches pour les distinguer plus facilement"
"SETTINGS_DESC_GENERAL_VOLUME","General volume controls the volume of both sound effects and background music. If you disable it, the game will make no sound.","Общая громкость контролирует громкость как звуковых эффектов, так и фоновой музыки. Если вы выключите её, игра будет без звука.","Die Allgemeine Lautstärke regelt die Lautstärke sowohl der Soundeffekte als auch der Musik. Wenn Sie es deaktivieren, wird das Spiel keinen Sound ausgeben.","Le volume général contrôle le volume à la fois des effets sonores et de la musique de fond. Si vous le désactivez, le jeu ne produit aucun son."
"SETTINGS_DESC_LANGUAGE","Language of the game","Язык игры","Sprache des Spiels","Langage du jeu"
"SETTINGS_DESC_MOUSE_SENSITIVITY","The higher the sensitivity, the faster the mouse moves","Чем выше чувствительность, тем быстрее двигается мышь","Je höher die Sensitivität, desto schneller wird sich die Maus bewegen","Plus la sensibilité est haute, plus vite la souris se déplace"
"SETTINGS_DESC_MUSIC_PACKS","Music packs contain various groups of music tracks. If you disable them all, there will be no background music.","Музыкальные группы содержат разные комбинации музыкальных дорожек. Если вы выключите их все, фоновой музыки не будет.","Musikpakete enthalten verschiedene Gruppen von Musikstücken. Wenn Sie alle deaktivieren, wird keine Hintergrundmusik ausgegeben.","Les packs de musique contiennent différents groupes de pistes musicales. Si vous les désactivez tous, il n'y aura pas de musique de fond."
"SETTINGS_DESC_MUSIC_VOLUME","Background music volume","Громкость фоновой музыки","Lautstärke Hintergrundmusik","Volume de la musique de fond"
"SETTINGS_DESC_ONLY_HORIZONTAL","Horizontal deflection only","Отклонение лишь по горизонтали","Nur horizontale Neigung","Déflection horizontale seulement"
"SETTINGS_DESC_RES","Game window resolution. Contains several standard resolutions and current one on the last line if it differs from standard ones. Try to resize the window and you'll see it changing.","Разрешение окна игры. Содержит несколько стандартных разрешений и текущее на последней строке, если оно отличается от стандартных. Попробуйте изменить размер окна и увидите, как оно меняется.","Größe des Spielfensters. Enthält diverse Standardgrößen und die aktuelle Fenstergröße als letzte Linie (wenn es keine Standardgröße ist). Versuchen Sie, die Fenstergröße zu ändern und Sie werden die Änderung sehen.","Résolution de la fenêtre de jeu. Contient différentes résolutions standards et celle courante sur la dernière ligne si elle différère de celles standards. Essayez de redimensionner la fenêtre et vous la verrez changer."
"SETTINGS_DESC_RESTRICT_CAM_ROTATION","When restricted, camera is only allowed to move in a range that is most suitable for playing. However, if you want to look around, you can remove the restriction and rotate freely.","При ограничении камере дозволено двигаться лишь в пределах, наиболее удобных для игры. Тем не менее, если вы хотите осмотреться вокруг, можете убрать ограничение и вращать камеру свободно.","Wenn begrenzt, ist die Spielansicht auf einen Bereich begrenzt, der optimal für das Spielen ist. Wenn Sie sich umschauen wollen, können Sie diese Begrenzung herausnehmen und die Ansicht damit frei auswählen.","Quand elle est restreinte, la caméra est seulement autorisée à se déplacer dans une étendue qui est davantage conçue pour le jeu. Toutefois, si vous voulez voir autour, vous pouvez enlever la restriction et pivoter librement."
"SETTINGS_DESC_SCENE","Scene deifines the look of environment for tiles","Сцена определяет вид окружения для фишек","Szene definiert das Aussehen der Umgebung  für die Spielsteine","La scène définit l'aspect de l'environnement pour les tuiles"
"SETTINGS_DESC_SHADERS","If enabled, objects will look more natural","Если включено, объекты будут выглядеть более правдоподобно","Wenn aktiviert, sehen die Objekte natürlicher aus.","Si activé, les objets paraîtront plus naturels"
"SETTINGS_DESC_SHADOWS","If enabled, objects cast shadows","Если включено, объекты отбрасывают тень","Wenn aktiviert, werfen die Objekte Schatten.","Si activé, les objets perdent leur ombre"
"SETTINGS_DESC_SOUND_FX_VOLUME","Sound effects' volume","Громкость звуковых эффектов","Soundeffekt-Lautstärke","Volume des effets sonores"
"SETTINGS_DESC_TEXTURE_FILTERING","Defines smoothness of textures on objects","Определяет гладкость текстур на объектах","Definiert die Gleichmäßigkeit der Texturen auf Objekten","Définit la douceur des textures sur les objets"
"SETTINGS_DESC_THEME","Theme defines the look of tiles and victory/loss sounds/screens","Тема определяет вид фишек и звуки/экраны победы/поражения","Das Theme definiert das Aussehen der Spielsteine und der Sounds & Grafiken bei Sieg/Niederlage.","Le thème définit l'aspect des tuiles ainsi que les sons/écrans en cas de victoire/défaite"
"SETTINGS_DESC_THEMES","Game look","Вид игры","Aussehen des Spiels","Aspect du jeu"
"SETTINGS_DESC_TILE","The higher the quality, the better tiles look","Чем выше качество, тем лучше фишки выглядят","Je höher die Qualität, desto besser sehen die Spielsteine aus","Plus la qualité est haute, meilleur est l'aspect des tuiles"
