"id","en","ru","de","fr","es","hi"
"GAME_QUIT","Quit","Выйти из игры","Spiel verlassen","Quitter","Salir","प्रस्थान करे"
"GAME_REMOVED_TILES_ALTOGETHER","Removed tiles / Altogether","Убранные фишки / Всего","Entfernte Spielsteine / Insgesamt","Tuiles supprimées / Au total","Fichas borradas / Total","हटाई गयी टाइल / एक साथ"
"GAME_RESTART","Restart the game","Перезапустить игру","Spiel neu starten","Redémarrer le jeu","Reiniciar la partida","पुनः प्रारंभ"
"GAME_SAVE","Save","Сохранить","Speichern","Sauvegarder","Guardar","संचय करे"
"GAME_SETTINGS","Settings","Настройки","Einstellungen","Paramètres","Opciones","मूल प्रति"
"GAME_SHUFFLE","Shuffle","Перемешать","Vermischen","Mélanger","Barajar","फेटो"
"GAME_SOUND_TRACK","Sound track","Музыкальная дорожка","Soundtrack","Piste sonore","Banda sonora.","ध्वनि"
"GAME_START","Start a new game","Начать новую игру","Neues Spiel starten","Démarrer un nouveau jeu","Comenzar un nuevo juego","नया खेल प्रारम्भ करे"
"GAME_STATS","Statistics","Статистика","Statistik","Statistiques","Estadísticas","आकंडे"
"GAME_TILE_PAIRS_YOU_CAN_REMOVE","Tile pairs you can remove","Пары фишек, которые можно удалить","Spielstein-Paare, die gelöscht werden können","Paires de tuiles que vous pouvez enlever","Pares de fichas que tu puedes eliminar","टाइल जोड़ी जो आप हटा सकते है"
"GAME_TYPE_ALL","All game types","Все типы игр","Alle Spieltypen","Tous les types de jeux","Todos los tipos de partidas","हर शैली के खेल"
"GAME_TYPE_DIFFICULTY_LAYOUT_HINTS_UNDOS_TIME","Type: %s
Difficulty: %s
Layout: %s
Hints: %s
Undos: %s
Time: %s","Тип: %s
Сложность: %s
Раскладка: %s
Подсказки: %s
Отмены: %s
Время: %s","Typ: %s
Schwierigkeit: %s
Layout: %s
Hinweise: %s
Rücknahmen: %s
Zeit: %s","Type : %s
Difficulté : %s
Disposition : %s
Suggestions : %s
Défaits : %s
Temps : %s","Tipo: %s
Dificultad: %s
Capa: %s
Hints: %s
Acciones de deshacer: %s
Tiempo: %s","शैली: %s
कठनाई: %s
खाका: %s
संकेत: %s
अनडू : %s
समय: %s"
"GAME_TYPE_SHISENSHO","Shisen-Sho","Шисен-Сё","Shisen-Sho","Shisen-Sho","Shisen-Sho","शिसेन शो"
"GAME_TYPE_SHISENSHO_GRAVITY","Shisen-Sho + gravity","Шисен-Сё + гравитация","Shisen-Sho + Gravitation","Shisen-Sho + gravité","Shisen-Sho + gravedad","शिसेन शो + गुरुत्वाकर्षण"
"GAME_TYPE_SHISENSHO_GRAVITY_SHORT","Shisen-Sho +g","Шисен-Сё +г","Shisen-Sho +G","Shisen-Sho +g","Shisen-Sho +g","शिसेन शो + जी"
"GAME_TYPE_SOLITAIRE","Solitaire","Пасьянс","Solitär","Solitaire","Solitario","सोलिटैरे"
"GAME_UNDO","Undo","Отменить","Zurücknehmen","Défaire","Deshacer","अनडू"
"GFX_QUALITY_CUSTOM","Custom","Настроить","Benutzerdefiniert","Personnalisée","Modificado","कस्टम"
"GFX_QUALITY_HIGH","High","Высокое","Hoch","Haute","Alto","ज्यादा"
"GFX_QUALITY_LOW","Low","Низкое","Niedrig","Basse","Bajo","कम"
"GFX_QUALITY_MEDIUM","Medium","Среднее","Mittel","Moyenne","Medio","सामान्य"
"HW_NO_SHADER_SUPPORT","Your hardware does not support Shader Model 2.0. This may crash the applications.","Похоже что ваша система не поддерживает Shader Model 2.0. Это может привести к падению приложения.","Ihre Hardware unterstützt kein Shader Modell 2.0. Dies kann zur Spielabstürzen führen.","Votre matériel ne supporte pas le Shader modèle 2.0. Cela peut planter les applications.","Tu hardware no soporta Shader Model 2.0. Esto puede hacer fallar las aplicaciones.","आपका हार्डवेयर शेडर मॉडल २.० नहीं चला सकता |इसके कारण एप्लीकेशन बंद हो सकती है |   "
"INFO_ABOUT","About","О программе","Über","A propos","Acerca de","जानकारी"
"INFO_ABOUT_HOME_URL","http://opengamestudio.org/lang/en/ogs-mahjong","http://opengamestudio.org/lang/ru/ogs-mahjong","http://opengamestudio.org/lang/en/ogs-mahjong","http://opengamestudio.org/lang/en/ogs-mahjong","http://opengamestudio.org/lang/en/ogs-mahjong","http://opengamestudio.org/lang/en/ogs-mahjong"
"INFO_ABOUT_TXT","This is a classic Mahjong Solitaire game. It is a first step on the long road to an Open source RPG we (OGS team) wish to create.
 
Web page:
[window='Info/LinkHome']","Это классическая игра ""Пасьянс Маджонг"". Это первый шаг в длинной дороге к нашей РПГ, которую мы (команда OGS), хотим создать.
 
Веб-страница:
[window='Info/LinkHome']","Dies ist ein klassisches Mahjong Solitaire Spiel. Es ist der erste Schritt auf den langen Weg zum Open-Source-RPG, das wir (das OGS-Team) kreieren möchten.
 
Web-Seite:
[window='Info/LinkHome']","Ceci est un jeu de Mahjong solitaire classique. C'est la premère étape sur la longue route vers un RPG Open Source que nous (équipe OGS) souhaitons créer.
 
Page Web :
[window='Info/LinkHome']","Es un videojuego clásico del Solitario de Mahjong. Es el primer paso del camino hacia Open source RPG nosotros (el equipo de OGS), del que nosotros deseamos crear.
 
Página web:
[window='Info/LinkHome']","यह एक प्रसिद्ध महजोंग सोलिटैरे खेल है |यह ओपन सोर्स RPG की ओर जाने वाली राह में हमारा (OGS दल) पहला कदम है| 

Web page:
[window='Info/LinkHome']"
"INFO_GRATITUDE","Gratitude","Благодарность","Danksagung","Gratitude","Gratitud","आभार"
"INFO_GRATITUDE_TXT","Thanks to:
- Ogre3D team/community for the engine and help;
- Lightfeather team/community for help while this game has been using Lightfeather engine;
- OpenAL-Soft/ALURE developer KittyCat for help.
Special thanks to CrazyEddie for good GUI system and great support.","Благодарим:
- команду/сообщество Ogre3D за движок и помощь;
- команду/сообщество Lightfeather за помощь, когда эта игра использовала движок Lightfeather;
- разработчика OpenAL-Soft/ALURE под псевдонимом KittyCat за помощь.
Особая благодарность CrazyEddie за хорошую систему GUI и отличную поддержку.","Vielen Dank an:
- das Ogre3D Team & Community für die Engine und Ihre Hilfe;
- das Lightfeather Team & Community für die Hilfe mit der Lightfeather Engine;
- den OpenAL-Soft/ALURE Entwickler KittyCat für seine Hilfe.
Besonderer Dank geht an CrazyEddie für sein schönes GUI System und seine große Unterstützung.","Remerciements à  :
- Communautéé/équipe Ogre3D pour le moteur et l'aide ;
- Communauté/équipe Lightfeather pour l'aide durant la période où ce jeu a utilisé le moteur Lightfeather ;
- KittyCat, développeur OpenAL-Soft/ALURE pour l'aide.
Remerciements spéciaux à  CrazyEddie pour le bon système de GUI et le grand soutien.","Gracias a:
- Ogre3D equipo/comunidad por su motor y su ayuda;
- Lightfeather equipo/comunidad por su ayuda mientras este juego usaba el motor Lightfeather;
- OpenAL-Soft/ALURE desarrollador de KittyCat por su ayuda.
Especiales agradecimientos a CrazyEddie por el buen sistema de GUI y el genial soporte.","-Ogre3d दल को इंजन और सहायता के लिए 
-Lightfeather दल को उनकी सहायता के लिए क्यूकि फ़िलहाल ये खेल इन्ही के इंजन पर आधारित है
 -OpenAL -Soft/ALURE के डेवलपर KittyCat ko 
बहुत बहुत धन्यवाद |
CrazyEddie को अच्छे GUI के लिए विशेष धन्यवाद| "
"INFO_LICENSE","License","Лицензия","Lizenz","Licence","Licencia","अनुज्ञापत्र"
"INFO_LICENSE_TXT","Copyright (C) 2010-2012, Opensource Game Studio

OGS Mahjong is free software: you can redistribute it and/or modify
it under the terms of the GNU General Public License as published by
the Free Software Foundation, either version 3 of the License, or
(at your option) any later version.

OGS Mahjong is distributed in the hope that it will be useful,
but WITHOUT ANY WARRANTY; without even the implied warranty of
MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the
GNU General Public License for more details.

You should have received a copy of the GNU General Public License
along with OGS Mahjong. If not, see
[window='Info/LinkLicense']",,,,,
"INFO_RULES","Rules","Правила","Regeln","Règles","Reglas","नियम"
"INFO_RULES_MAHJONG_SOLITAIRE","    Solitaire","    Пасьянс","    Solitär","    Solitaire","    Solitario","    सौलिटैरे"
"INFO_RULES_MAHJONG_SOLITAIRE_TXT","Mahjong Solitaire
 
Goal of the game is to clear the playing field by taking away pairs of identical tiles. The tile can be removed only if it is free, that means there are no other tiles to the left, to the right or on top of it.
[image='set:Rules image:Mahjong']
 
Classic mahjong tiles:
1. Bamboos - tiles with value 1 to 9. The Bamboo tiles with the same color and value are identical.
2. Symbols - tiles with value 1 to 9. The Symbols tiles with the same color and value are identical.
3. Dots - tiles with value 1 to 9. The Dots tiles with the same color and value are identical.
4. Dragons - 3 tiles of different colors. The Dragons tiles with the same color are identical.
5. Winds - 4 pieces with the symbols of different sides of the world. The Winds tiles with the same symbol are identical.
6. Seasons - 4 pieces depicting the seasons. All Seasons tiles are identical.
7. Flowers - 4 pieces with images of flowers. All Flowers tiles are identical.
 
Tiles in various themes may look different.","Пасьянс Маджонг
 
Цель игры - очистить игровое поле, каждый ход убирая с него попарно одинаковые фишки.
Фишка может быть убрана только если она свободна, то есть если слева от нее, справа от нее или на ней нет других фишек.
[image='set:Rules image:Mahjong']
 
Масти фишек классического маджонга:
1. Бамбуки - фишки достоинством от 1 до 9. Одинаковыми считаются фишки масти Бамбуки одного и того же достоинства.
2. Символы - фишки достоинством от 1 до 9. Одинаковыми считаются фишки масти Символы одного и того же достоинства.
3. Точки - фишки достоинством от 1 до 9. Одинаковыми считаются фишки масти Точки одного и того же достоинства.
4. Драконы - 3 фишки разных цветов. Одинаковыми считаются фишки масти Дракон одного и того же цвета.
5. Стороны света - 4 фишки с символами разных сторон света. Одинаковыми считаются фишки масти Стороны света с одним и тем же символом.
6. Времена года - 4 фишки с изображением времен года. Одинаковыми считаются все фишки масти Времена года.
7. Цветы - 4 фишки с изображениями цветов. Одинаковыми считаются все фишки масти Цветы.
 
В различных темах масти фишек могут выглядеть по-разному.","Mahjong Solitaire
 
Ziel des Spieles ist es, das Spielfeld durch Wegnahme von den Paaren identischer Steine frei zu machen.
Der Spielstein kann nur dann entfernt werden, wenn er frei ist, d. h.wenn er auf mindestens einer Seite keinen anderen Stein berührt.
[image='set:Rules image:Mahjong']
 
Klassische Mahjong Spielsteine sind:
1. Die Bambus-Spielsteine haben einen Wert von 1 bis 9. Die Spielsteine mit gleicher Farbe und gleichem Wert sind identisch.
2. Die Symbol-Spielsteine haben einen Wert von 1 bis 9. Die Spielsteine mit gleicher Farbe und gleichem Wert sind identisch.
3. Die Punkte-Spielsteine haben Wert von 1 bis 9. Die Spielsteine mit gleicher Farbe und gleichem Wert sind identisch.
4. Drachen - 3 Spielsteine in verschiedenen Farben.
5. Himmelsrichtungen - 4 Stück mit den Symbolen der verschiedenen Himmelsrichtungen. Die Spielsteine mit dem gleichen Symbol sind identisch.
6. Jahreszeiten - 4 Stück mit der Darstellung der Jahreszeiten. Alle Jahreszeiten-Spielsteine sind identisch.
7. Blumen - 4 Stück mit Bildern von Blumen. Alle Blumen-Spielsteine sind identisch.
 
Spielsteinen in verschiedenen Themen können anders aussehen.","Mahjong solitaire
 
Le but du jeu est de nettoyer l'espace de jeu en enlevant les paires de tuiles identiques. La tuile peut êre enlevée seulement si elle est libre, ce qui signifie qu'il n'y a pas d'autre tuile à  gauche, à  droite ou sur le dessus de celle-ci.
[image='set:Rules image:Mahjong']
 
Tuiles du mahjong classique :
1. Bambous - tuiles avec une valeur de 1 à  9. Les tuiles de bambous avec la même couleur et valeur sont identiques.
2. Symboles - tuiles avec une valeur de 1 à  9. Les tuiles de symboles avec la même couleur et valeur sont identiques.
3. Points - tuiles avec une valeur de 1 à  9. Les tuiles de points avec la même couleur et valeur sont identiques.
4. Dragons - 3 tuiles de différentes couleurs. Les tuiles de dragons avec la même couleur et valeur sont identiques.
5. Vents - 4 pièces avec les symboles des diférents côtés du monde. Les tuiles de vents avec le même symbole sont identiques.
6. Saisons - 4 pièces dépeignant les saisons. Toutes les tuiles de saisons sont identiques.
7. Fleurs - 4 pièces avec des images de fleurs. Toutes les tuiles de fleurs sont identiques.
 
Les tuiles dans les divers thèmes peuvent être différentes.","Mahjong Solitario
 
El objetivo del juego es limpiar la mesa de juego por medio de coger pares de fichas idénticos. Un par de fichas solo se pueden eliminar si esta libre, y signifca que no hay otras fichas en la izquierda, derecha o encima de ella.
[image='set:Rules image:Mahjong']
 
Fichas clásicas del mahjong:
1. Bambús - fichas con un valor entre 1 y 9. Las fichas de Bambú con el mismo color y el mismo valor son idénticas.
2. Símbolos - fichas con un valor entre 1 y 9. Las fichas de Símbolos con el mismo color y el mismo valor son idénticas.
3. Puntos - fichas con un valor entre 1 y 9. Las fichas de Puntos con el mismo color y el mismo valor son idénticas.
4. Dragones - 3 fichas con distinto color. Las fichas de Dragón con el mismo color son idénticas.
5. Vientos - 4 fichas con el mismo símbolo en diferentes lados del mundo. Las fichas de Vientos con el mismo símbolo son idénticas.
6. Estaciones - 4 fichas que representan las estaciones. Todas las Estaciones son idénticas.
7. Flores - 4 fichas con imágenes de flores. Todas las fichas de Flores son idénticas.
 
Fichas con distintos estilos visuales pueden tener una pinta distinta.","महजोंग सोलिटैरे
इस खेल का मकसद हर एक समान टाइल की जोडियो को चुन कर हटाना और खेल शेत्र को खली करना |एक टाइल को तभी हटाया जा सकता है जब उसके दये , बाये व उपर कोई दूसरी टाइल ना हो |
[image='set:Rules image:Mahjong']

प्रसिद्ध महजोंग टाइल्स :
१. बम्बू - टाइल्स के भाव १ से ९ तक होते है | बम्बू टाइल्स जिनका एक समान रंग हो या एक ही भाव हो वो एक सामान होती है |
२. चिह्न - टाइल्स के भाव १ से ९ तक होते है | चिह्न टाइल्स जिनका एक समान रंग हो या एक सामान भाव हो वो एक समान होती है |
३. बिंदु - टाइल्स के भाव १ से ९ तक होते है | बिंदु टाइल्स जिनका एक समान रंग हो या एक सामान भाव हो वो एक समान होती है |
४. ड्रैगन्स - भिन्न रंगों की ३ टाइल्स |ड्रैगन टाइल्स जिनका एक समान रंग हो या एक सामान भाव हो वो एक समान होती है |
५. हवाए - ४ टुकड़े जिन पर दुनिया के अलग अलग कोने के चिन्ह अंकित हो | हवा टाइल जिन पर एक सामान चिह्न हो वह एक सामान होती है | 
६. ऋतुये - ४ टुकड़े जो हर ऋतु को दर्शाए | हर ऋतु कि टाइल समान होती है |
७. फूल - ४ टुकड़े जिन पर फूलो के चित्र हो | हर फूल वाली टाइल एक सामान होती है|

हर प्रसंग की टाइल एक दुसरे से भिन्न लग सकती है |"
"INFO_RULES_SHISEN_SHO","    Shisen-Sho","    Шисен-Сё","    Shisen-Sho","    Shisen-Sho","    Shisen-Sho","    शिसेन शो"
"INFO_RULES_SHISEN_SHO_TXT","Shisen-Sho
 
Goal of the game is to clear the playing field by taking away pairs of identical tiles. A pair of tiles can be removed only if they can be connected by the line with no more than two right angles running through a free space.
[image='set:Rules image:ShisenSho'] [image='set:Rules image:ShisenSho2']
 
Shisen-Sho with gravity
 
Goal of the game is to clear the playing field by taking away pairs of identical tiles. A pair of tiles can be removed only if they can be connected by the line with no more than two right angles running through a free space. After each turn, tiles, that are free at the bottom, will be pushed down to the other tiles or to the bottom row.","Шисен-се
 
Цель игры - очистить игровое поле, каждый ход убирая с него попарно одинаковые фишки.
Пара фишек может быть убрана только если их можно соединить линией с не более чем двумя прямыми углами, проходящей по свободному игровому пространству.
[image='set:Rules image:ShisenSho'] [image='set:Rules image:ShisenSho2']
 
Шисен-се с гравитацией
 
Цель игры - очистить игровое поле, каждый ход убирая с него попарно одинаковые фишки.
Пара фишек может быть убрана только если их можно соединить линией с не более чем двумя прямыми углами, проходящей по свободному игровому пространству.
После каждого хода фишки, свободные с нижней стороны, сдвигаются вниз так, чтобы соприкасаться с другими фишками либо находиться в нижнем ряду.","Shisen-So
 
Ziel des Spieles ist das Spielfeld durch Wegnahme von den Paaren identischer Steine frei zu machen.
Ein Paar von Spielsteinen kann nur dann entfernt werden, wenn sie durch die Linie mit nicht mehr als zwei rechten Winkeln angeschlossen / verbunden werden kann.
[image='set:Rules image:ShisenSho'] [image='set:Rules image:ShisenSho2']
 
Shisen-So + Gravitation
 
Ein Paar von Spielsteinen kann nur dann entfernt werden, wenn sie durch die Linie mit nicht mehr als zwei rechten Winkeln angeschlossen / verbunden werden kann.
Nach jedem Zug werden die Spielsteine, die von der Unterseite frei sind, nach unten verschoben, bis zum sie im Kontakt mit anderen Spielsteinen kommen oder den anderen Spielsteine oder sein Platz an der erste Spiellinie nehmen.","Shisen-Sho
 
Le but du jeu est de nettoyer l'espace de jeu en enlevant les paires de tuiles identiques. Une paire de tuiles peut êre supprimée seulement si elles peuvent être connectées par une ligne avec deux angles droits au plus traversant un espace libre.
[image='set:Rules image:ShisenSho'] [image='set:Rules image:ShisenSho2']
 
Shisen-Sho avec gravité
 
Le but du jeu est de nettoyer l'espace de jeu en enlevant les paires de tuiles identiques. Une paire de tuiles peut être supprimée seulement si elles peuvent êre connectées par une ligne avec deux angles droits au plus traversant un espace libre. Après chaque tour, les tuiles qui sont libres en-dessous seront poussées vers le bas vers les autres tuiles ou vers le rang du bas.","Shisen-Sho
 
El objetivo del juego es limpiar la mesa de juego por medio de coger pares de fichas idénticos. Un par de fichas pueden eliminarse solamente si están conectadas por una linea con no mas de dos ángulos a la derecha a través de un espacio libre sobre la mesa de juego.
[image='set:Rules image:ShisenSho'] [image='set:Rules image:ShisenSho2']
 
Shisen-Sho con gravedad
 
El objetivo del juego es limpiar la mesa de juego por medio de coger pares de fichas idénticos. Un par de fichas pueden eliminarse solamente si están conectadas con no mas de dos ángulos a la derecha a través de un espacio libre sobre la mesa de juego, cuando desaparezcan las otras fichas de encima bajaran un nivel en la fila.","शिसेन सो

इस खेल का मकसद हर एक समान टाइल की जोडियो को चुन कर हटाना और खेल शेत्र को खली करना |एक जोड़ी को तभी हटाया जा सकता है जब उन्हें आपस में एक रेखा से जोड़ा जा सके और रेखा में दो से ज्यादा समकोण न हो|
[image='set:Rules image:ShisenSho']
[image='set:Rules image:ShisenSho2']

गुरुत्वाकर्षण के साथ शिसेन सो

इस खेल का मकसद हर एक समान टाइल की जोडियो को चुन कर हटाना और खेल शेत्र को खली करना |एक जोड़ी को तभी हटाया जा सकता है जब उन्हें आपस में एक रेखा से जोड़ा जा सके और रेखा में दो से ज्यादा समकोण न हो|हर चाल के बाद जो टाइल्स ताल पर मुक्त होती है उन्हें दूसरी टाइल्स के नीचे दाल दिया जायेगा|"
"INFO_SURVEY","Survey","Опрос","Umfrage","Enquête","Encuesta","निरीक्षण"
"INFO_SURVEY_TXT","You're using an unstable version of OGS Mahjong. Would you like to participate in a survey to help us make the game even better?
 
[window='Info/LinkSurvey']","Вы используете нестабильную версию OGS Маджонг. Хотите ли вы принять участие в опросе, чтобы помочь нам сделать игру ещё лучше?
 
[window='Info/LinkSurvey']","Sie benutzen eine instabile Version von OGS Mahjong. Möchten Sie bei unserer Umfrage teilnehmen, damit wir dieses Spiel noch besser machen können?
 
[window='Info/LinkSurvey']","Vous utilisez une version test instable de OGS Mahjong. Voudriez-vous participer à une enquête pour nous aider à rendre le jeu encore meilleur ?
 
[window='Info/LinkSurvey']","Tú puedes estar usando una versión inestable de OGS Mahjong. ¿Te gustaría participar en una encuesta para ayudarnos a hacer el juego aún mejor?
 
[window='Info/LinkSurvey']","आप OGS Mahjong का एक अस्थिर भाग चला रहे है |क्या आप आप इस निरीक्षण में भाग लेना चाहेंगे जिससे हम खेल को और अच्छा बना सके ?

[window='Info/LinkSurvey']"
"INFO_TEAM","Team","Команда","Team","Equipe","Equipo","दल"
"INFO_TEAM_DEVELOPMENT","    Development","    Разработка","    Entwicklung","    Développement","    Desarrollo","    निर्माण"
"INFO_TEAM_DEVELOPMENT_TXT","[image='set:Logos image:OGS'] team:
Michael Kapelko - code and content;
Ivan Korystin - gameplay design, content and QA;
Tatyana Artemyeva - QA.","Команда [image='set:Logos image:OGS']:
Михаил Капелько - код и наполнение;
Иван Корыстин - игровой дизайн, наполнение и контроль качества;
Татьяна Артемьева - QA.","[image='set:Logos image:OGS'] team:
Michael Kapelko - Programmcode und Inhalte;
Ivan Korystin - Gameplay Design, Inhalte und QS;
Tatyana Artemyeva - QS.","Equipe [image='set:Logos image:OGS'] :
Michael Kapelko - code et contenu ;
Ivan Korystin - conception du gameplay, contenu et QA;
Tatyana Artemyeva - QA.","[image='set:Logos image:OGS'] team:
Michael Kapelko - código y contenido;
Ivan Korystin - diseño de jugabilidad, contenido y control de calidad;
Tatyana Artemyeva - control de calidad.","[image='set:Logos image:OGS']दल:
मिचैल कपेलको - कोडिंग और और मूल तत्व
इवान कोर्य्स्तीं - गमेप्लय , मूल तत्त्व और प्रश्न-उत्तर
तात्याना अर्तेम्येवा - प्रश्न-उत्तर"
"INFO_TEAM_TRANSLATION","    Translation","    Перевод","    Übersetzung","    Traduction","    Traducciones","    अनुवाद"
"INFO_TEAM_TRANSLATION_TXT","Abhijeet Pokhriyal - Hindi translation.
Ekaterina Kamshilina - German translation.
Jürgen Rauscher - German translation.
Dirk Pervölz - German translation.
Stefan Stammberger - German translation.
Miguel de Dios - Spanish translation.
Thierry Delaunay - French translation.","Abhijeet Pokhriyal - перевод Хинди.
Екатерина Камшилина - Немецкий перевод.
Jürgen Rauscher - Немецкий перевод.
Dirk Pervölz - Немецкий перевод.
Stefan Stammberger - Немецкий перевод.
Miguel de Dios - Испанский перевод.
Thierry Delaunay - Французский перевод.","Abhijeet Pokhriyal - Hindi Übersetzung.
Ekaterina Kamshilina - Deutsche Übersetzung.
Jürgen Rauscher - Deutsche Übersetzung.
Dirk Pervölz - Deutsche Übersetzung.
Miguel de Dios - Spanische Übersetzung.
Stefan Stammberger - Deutsche Übersetzung.
Thierry Delaunay - Französische Übersetzung.","Ekaterina Kamshilina - traduction originale allemande.
Jürgen Rauscher - a corrigé la traduction originale allemande.
Dirk Pervölz - a corrigé la traduction originale allemande.
Thierry Delaunay - traduction originale française.
Miguel de Dios - traduction espagnole.","Ekaterina Kamshilina - traducción original al Aleman.
Jürgen Rauscher - corrección de la traducción original al Aleman.
Dirk Pervölz - corrección de la traducción original al Aleman.
Thierry Delaunay - Traducción al Francés.
Miguel de Dios - Traducción al Español.","एकतेरिना कम्शिलिना - जर्मन अनुवाद |
जुरगेन रौस्चेर - जर्मन अनुवाद को सही करा |
डर्क पेर्वोल्ज़ - क्गेर्मन अनुवाद को सही करा |
थिएर्र्य देलौने -फ्रेंच अनुवाद |
निगुएल दे दिओस - स्पेनिश अनुवाद |
अभिजीत पोखरियाल - हिंदी अनुवाद |"
"INFO_THIRD_PARTIES","Third parties","Третьи стороны","Software von Drittanbietern","Tierces parties","Terceras librerías","थर्ड पार्टी"
"INFO_THIRD_PARTIES_LIBRARIES","    Libraries","    Библиотеки","    Bibliotheken","    Bibliothèques","    Librerías","    लाइब्रेरीज़"
